0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
32.335,83.098,74.056,66.42,78.704,26.871,49.417,60.247,90.795,85.034,0.0,22.841,59.759,41.61,26.686,73.289,47.729,3.507,43.157,74.494,68.142,50.519,38.002,77.578,59.321,52.918,27.64,83.042,74.514,77.999,83.579,45.214,58.118,20.563,5.782,83.052,90.802,53.558,19.252,80.387,24.753,25.348,57.163,25.501,26.383,87.76,80.591,33.69,65.602,76.268,64.565,79.078,33.074,5.124,70.988,5.106,54.853,28.843,84.792,88.002,58.615,77.648,71.318,46.134,51.152,35.874,79.372,73.885,37.892,45.406,52.184,32.91,88.812,24.33,88.933,69.256,88.219,30.874,85.053,80.656,69.922,53.826,85.449,43.371,51.774,38.757,57.102,23.195,45.748,87.543,77.915,83.448,64.647,31.737,85.061,54.832,27.851,9.795,50.812,75.055
37.117,60.257,78.838,71.202,55.863,31.653,43.757,65.029,95.577,89.816,22.841,0.0,49.085,18.769,31.468,50.448,52.511,26.348,47.939,51.653,72.924,32.887,42.784,54.737,36.48,48.76,32.422,87.824,51.673,82.781,60.738,49.996,35.277,33.16,27.468,87.834,95.584,58.34,26.5,72.381,29.825,3.076,61.945,8.518,5.663,92.542,57.75,38.472,70.384,53.427,69.347,56.237,37.856,26.921,68.717,17.735,59.635,33.625,89.574,92.784,60.23,54.807,76.1,40.041,37.741,40.656,84.154,51.044,42.674,23.652,43.273,37.692,65.971,16.074,93.715,74.038,80.673,35.656,71.258,85.438,74.704,47.653,90.231,31.113,56.556,24.252,49.702,27.977,50.53,64.702,82.697,88.23,69.429,8.896,89.843,59.614,32.633,29.819,27.971,79.837
32.217,36.393,29.753,22.117,18.945,46.476,10.342,23.362,63.209,40.731,59.759,49.085,0.0,35.618,43.695,13.53,15.596,63.266,20.794,19.774,23.839,16.198,32.319,29.68,43.329,6.841,67.675,57.889,14.755,33.696,42.282,54.808,46.972,70.078,64.386,38.749,46.499,26.631,63.418,23.296,66.743,46.009,41.03,40.567,43.422,43.457,20.832,64.485,65.631,16.509,20.262,19.319,26.818,63.839,19.632,54.653,41.405,40.07,40.489,43.699,11.145,17.889,27.015,13.625,11.344,56.211,35.069,41.992,56.641,25.433,7.575,35.236,29.053,35.429,44.63,24.953,31.588,31.691,25.294,36.353,25.619,5.933,65.58,17.972,34.08,24.833,2.657,43.342,38.219,44.078,67.978,67.478,29.704,43.984,40.758,10.529,55.695,66.737,38.527,57.082
23.65,41.488,65.371,57.735,38.544,28.327,30.29,51.562,82.11,76.349,41.61,18.769,35.618,0.0,25.546,31.679,39.044,45.117,34.472,32.884,59.457,19.42,29.317,35.968,17.711,35.293,49.526,74.357,34.071,69.314,41.969,36.659,16.508,51.929,46.237,74.367,82.117,44.873,45.269,58.914,48.594,16.262,48.478,16.109,15.227,79.075,43.236,46.336,56.917,34.658,55.88,37.468,24.389,45.69,55.25,36.504,46.168,21.921,76.107,79.317,46.763,36.038,62.633,26.574,24.274,38.062,70.687,32.275,38.492,10.185,29.806,24.225,47.202,17.28,80.248,60.571,67.206,22.189,57.791,71.971,61.237,34.186,76.764,17.646,43.089,10.785,36.235,25.193,37.063,45.933,69.23,74.763,55.962,9.873,76.376,46.147,37.546,48.588,9.202,66.37
11.478,67.034,47.37,39.734,62.64,2.781,33.353,33.561,64.109,58.348,26.686,31.468,43.695,25.546,0.0,57.225,28.099,23.238,22.901,58.43,41.456,34.455,11.376,61.514,43.257,36.854,23.98,56.356,58.45,51.313,67.515,18.528,42.054,26.383,20.904,56.366,64.116,26.872,19.723,64.323,23.048,28.392,30.477,22.95,25.805,61.074,64.527,20.79,38.916,60.204,37.879,63.014,16.877,21.562,54.924,27.814,28.167,3.625,58.106,61.316,42.551,61.584,44.632,30.07,35.088,12.516,59.237,57.821,12.946,29.342,36.12,8.459,72.748,15.394,62.247,45.66,72.155,12.004,68.989,53.97,43.236,37.762,58.763,27.307,25.088,22.693,41.038,3.491,19.062,71.479,51.229,56.762,37.961,26.367,58.375,37.598,12.0,23.042,34.748,48.369
45.747,27.674,38.472,30.836,11.645,60.006,23.872,36.892,76.739,53.194,73.289,50.448,13.53,31.679,57.225,0.0,29.126,76.796,34.324,11.055,32.558,22.77,45.849,20.961,34.61,20.371,81.205,71.419,7.172,42.415,33.563,68.338,38.253,83.608,77.916,47.468,55.218,40.161,76.948,32.015,80.273,47.941,54.56,47.788,46.906,52.176,16.337,78.015,79.161,4.681,28.981,8.231,40.348,77.369,28.351,68.183,54.935,53.6,49.208,52.418,19.864,6.125,35.734,27.155,22.137,69.741,43.788,33.273,70.171,27.883,21.105,48.766,15.523,48.959,53.349,33.672,40.307,45.221,30.892,45.072,34.338,19.463,79.11,29.918,47.61,34.532,16.187,56.872,51.749,35.359,81.508,81.008,43.234,41.552,49.477,19.627,69.225,80.267,29.808,70.612
16.621,39.819,26.327,18.691,34.541,30.88,8.754,12.518,47.613,37.305,47.729,52.511,15.596,39.044,28.099,29.126,0.0,47.67,5.198,30.331,20.413,19.624,16.723,33.415,46.755,8.755,52.079,42.293,30.351,30.27,45.708,39.212,50.398,54.482,48.79,35.323,43.073,11.035,47.822,36.224,51.147,49.435,25.434,43.993,46.848,40.031,36.428,48.889,50.035,32.105,16.836,34.915,14.655,48.243,26.825,48.857,25.809,24.474,37.063,40.273,14.452,33.485,23.589,12.47,14.77,40.615,31.643,45.418,41.045,28.859,9.238,19.64,44.649,36.437,41.204,21.527,44.056,16.855,40.89,32.927,22.193,9.663,49.984,21.398,18.484,28.259,12.939,27.746,22.623,47.504,52.382,51.882,16.918,47.41,37.332,9.499,40.099,51.141,41.953,41.486
31.049,86.605,70.608,62.972,82.211,23.423,52.924,56.799,87.347,81.586,3.507,26.348,63.266,45.117,23.238,76.796,47.67,0.0,42.472,78.001,64.694,54.026,34.554,81.085,62.828,56.425,24.192,79.594,78.021,74.551,87.086,41.766,61.625,17.115,2.334,79.604,87.354,50.11,15.804,83.894,21.305,28.855,53.715,29.008,29.89,84.312,84.098,30.242,62.154,79.775,61.117,82.585,36.448,1.676,74.495,8.613,51.405,25.395,81.344,84.554,62.122,81.155,67.87,49.641,54.659,32.426,78.808,77.392,34.444,48.913,55.691,29.462,92.319,27.837,85.485,65.808,91.726,31.575,88.56,77.208,66.474,57.333,82.001,46.878,48.326,42.264,60.609,19.924,42.3,91.05,74.467,80.0,61.199,35.244,81.613,57.169,24.403,6.347,54.319,71.607
11.423,44.133,30.899,23.263,39.739,25.682,10.452,17.09,47.638,41.877,43.157,47.939,20.794,34.472,22.901,34.324,5.198,42.472,0.0,35.529,24.985,15.052,11.525,38.613,42.183,13.953,46.881,39.885,35.549,34.842,44.614,34.014,45.826,49.284,43.592,39.895,47.645,10.401,42.624,41.422,45.949,44.863,20.236,39.421,42.276,44.603,41.626,43.691,44.837,37.303,21.408,40.113,10.083,43.045,32.023,44.285,20.611,19.276,41.635,44.845,19.65,38.683,28.161,7.898,12.187,35.417,36.336,40.846,35.847,24.287,13.219,14.442,49.847,31.865,45.776,26.099,49.254,12.283,46.088,37.499,26.765,14.861,44.786,16.826,13.286,23.687,18.137,22.548,17.425,48.578,47.184,46.684,21.49,42.838,41.904,14.697,34.901,45.943,37.381,36.288
46.952,16.619,49.527,41.891,22.7,61.211,25.077,38.097,77.944,60.505,74.494,51.653,19.774,32.884,58.43,11.055,30.331,78.001,35.529,0.0,43.613,23.975,47.054,9.906,23.555,21.576,82.41,72.624,18.227,53.47,22.508,69.543,27.198,84.813,79.121,58.523,66.273,41.366,78.153,43.07,81.478,49.146,55.765,48.993,48.111,63.231,27.392,79.22,80.366,6.374,40.036,4.584,41.553,78.574,39.406,69.388,56.14,54.805,60.263,63.473,30.919,4.93,46.789,28.36,23.342,70.946,54.843,22.218,71.376,29.088,22.31,49.971,16.484,50.164,64.404,44.727,51.362,46.426,41.947,56.127,45.393,20.668,80.315,31.123,48.815,35.737,20.391,58.077,52.954,24.304,82.713,82.213,44.439,42.757,60.532,30.303,70.43,81.472,23.682,71.817
